,Release,Opening,Total Gross,% of Total,Theaters,Average,Date,Distributor,Revenue per Theater,Is Blockbuster,Profitability,Genre
0,Avengers: Endgame,357115007,858373000,41.6,4662,76601,2019-04-26,Walt Disney Studios Motion Pictures,184121.19262119263,Yes,2.4036318361720372,Other
1,Spider-Man: No Way Home,260138569,804793477,32.3,4336,59995,2021-12-17,Sony Pictures Releasing,185607.35170664208,No,3.0937107100024064,Other
2,Avengers: Infinity War,257698183,678815482,38.0,4474,57599,2018-04-27,Walt Disney Studios Motion Pictures,151724.51542244077,No,2.6341492753171645,Action
3,Star Wars: Episode VII - The Force Awakens,247966675,936662225,26.5,4134,59982,2015-12-18,Walt Disney Studios Motion Pictures,226575.28422835027,No,3.7773713947650425,Action
4,Star Wars: Episode VIII - The Last Jedi,220009584,620181382,35.5,4232,51987,2017-12-15,Walt Disney Studios Motion Pictures,146545.69517958412,No,2.818883481003264,Action
5,Jurassic World,208806270,652270625,32.0,4274,48855,2015-06-12,Universal Pictures,152613.62306972392,No,3.1238076567336797,Other
6,The Avengers,207438708,623357910,33.3,4349,47698,2012-05-04,Walt Disney Studios Motion Pictures,143333.61922280985,No,3.0050221388768,Other
7,Black Panther,202003951,700059566,28.9,4020,50249,2018-02-16,Walt Disney Studios Motion Pictures,174144.17064676617,No,3.465573631280113,Other
8,The Lion King,191770759,543638043,35.3,4725,40586,2019-07-19,Walt Disney Studios Motion Pictures,115055.67047619047,No,2.8348328276679555,Other
9,Avengers: Age of Ultron,191271109,459005868,41.7,4276,44731,2015-05-01,Walt Disney Studios Motion Pictures,107344.68381665107,Yes,2.399765810946388,Other
10,Doctor Strange in the Multiverse of Madness,187420998,411331607,45.6,4534,41336,2022-05-06,Walt Disney Studios Motion Pictures,90721.571901191,Yes,2.1946932915168875,Other
11,Incredibles 2,182687905,608581744,30.0,4410,41425,2018-06-15,Walt Disney Studios Motion Pictures,138000.3954648526,No,3.3312645629167403,Other
12,Black Panther: Wakanda Forever,181339761,453829060,40.0,4396,41251,2022-11-11,Walt Disney Studios Motion Pictures,103236.81983621474,No,2.5026450762775627,Other
13,Captain America: Civil War,179139142,408084349,43.9,4226,42389,2016-05-06,Walt Disney Studios Motion Pictures,96565.15593942262,Yes,2.2780300521926136,Action
14,Star Wars: Episode IX - The Rise of Skywalker,177383864,515202542,34.4,4406,40259,2019-12-20,Walt Disney Studios Motion Pictures,116932.0340444848,No,2.9044498771320035,Action
15,Beauty and the Beast,174750616,504014165,34.7,4210,41508,2017-03-17,Walt Disney Studios Motion Pictures,119718.32897862233,No,2.8841910634523886,Other
16,Iron Man 3,174144585,409013994,42.6,4253,40946,2013-05-03,Walt Disney Studios Motion Pictures,96170.7016223842,Yes,2.3487034868181516,Other
17,Harry Potter and the Deathly Hallows: Part 2,169189427,381011219,44.4,4375,38671,2011-07-15,Warner Bros.,87088.27862857142,Yes,2.2519800779276826,Other
18,Batman v Superman: Dawn of Justice,166007347,330360194,50.2,4242,39134,2016-03-25,Warner Bros.,77878.40499764262,Yes,1.9900335736345451,Other
19,Barbie,162022044,636238421,25.5,4243,38185,2023-07-21,Warner Bros.,149950.13457459345,No,3.9268633162040594,Other
20,The Dark Knight Rises,160887295,448139099,35.9,4404,36532,2012-07-20,Warner Bros.,101757.28860127158,No,2.7854225468828973,Other
21,The Dark Knight,158411483,533345358,29.7,4366,36282,2008-07-18,Warner Bros.,122158.80852038479,No,3.3668352060058675,Other
22,The Hunger Games: Catching Fire,158074286,424668047,37.2,4163,37971,2013-11-22,Lionsgate Films,102010.10016814797,No,2.6865093478897637,Other
23,Rogue One: A Star Wars Story,155081681,532177324,29.1,4157,37306,2016-12-16,Walt Disney Studios Motion Pictures,128019.56314649987,No,3.431593728984663,Action
24,Captain Marvel,153433423,426829839,36.0,4310,35599,2019-03-08,Walt Disney Studios Motion Pictures,99032.44524361948,No,2.781856981708607,Other
25,The Hunger Games,152535747,408010692,37.4,4137,36871,2012-03-23,Lionsgate Films,98624.7744742567,No,2.6748529444707803,Other
26,Spider-Man 3,151116516,336530303,44.9,4252,35540,2007-05-04,Sony Pictures Releasing,79146.3553621825,Yes,2.2269591167652383,Other
27,Jurassic World: Fallen Kingdom,148024610,417719760,35.4,4475,33078,2018-06-22,Universal Pictures,93345.19776536313,No,2.8219615643641958,Other
28,Furious 7,147187040,353007020,41.7,4004,36760,2015-04-03,Universal Pictures,88163.59140859141,Yes,2.3983566759682104,Other
29,Guardians of the Galaxy Vol. 2,146510104,389813101,37.6,4347,33703,2017-05-05,Walt Disney Studios Motion Pictures,89674.05129974695,No,2.6606567762725772,Other
30,The Super Mario Bros. Movie,146361865,574934330,25.5,4343,33700,2023-04-05,Universal Pictures,132381.83974211375,No,3.9281702921727595,Other
31,Jurassic World Dominion,145075625,376851080,38.5,4676,31025,2022-06-10,Universal Pictures,80592.61762189906,No,2.597618173280315,Other
32,Thor: Love and Thunder,144165107,343256830,42.0,4375,32952,2022-07-08,Walt Disney Studios Motion Pictures,78458.704,Yes,2.3809979900337463,Other
33,The Twilight Saga: New Moon,142839137,296623634,48.2,4024,35496,2009-11-20,Summit Entertainment,73713.62673956262,Yes,2.0766271781661634,Other
34,The Twilight Saga: Breaking Dawn - Part 2,141067634,292324737,48.3,4070,34660,2012-11-16,Lionsgate Films,71824.25970515971,Yes,2.072231090230095,Other
35,The Twilight Saga: Breaking Dawn - Part 1,138122261,281287133,49.1,4061,34011,2011-11-18,Summit Entertainment,69265.48460970205,Yes,2.036508314905155,Other
