id magasin,date d'ouverture,heures hebdo string,ouverture le dimanche,id magasin doublon,chiffre d'affaire,ville,numéro de téléphone
1,04-01-2015,58 heures,True,1,105981 €,MARSEILLE ,+33-695-17805
2,11-01-2015,48 heures,False,2,473929 €,Paris ,+33-647-30056
3,18-01-2015,34 heures,False,3,50306 €,Paris ,+33-600-13343
4,25-01-2015,27 heures,False,4,167718 €,Nice,+33-660-63222
5,01-02-2015,40 heures,False,5,328987 €,Nice,+33-663-19662
6,08-02-2015,58 heures,False,6,140975 €,Lille ,+33-668-69638
7,15-02-2015,38 heures,False,7,378745 €,Lille ,+33-666-95067
8,22-02-2015,42 heures,True,8,127512 €,MARSEILLE ,+33-625-77215
9,01-03-2015,30 heures,False,9,167443 €,Nice,+33-650-23284
10,08-03-2015,30 heures,False,10,490587 €,Paris ,+33-685-94664
11,15-03-2015,43 heures,False,11,393616 €,Lille ,+33-628-71389
12,22-03-2015,55 heures,False,12,153121 €,Lille ,+33-691-64340
13,29-03-2015,59 heures,False,13,182688 €,Paris ,+33-646-88832
14,05-04-2015,43 heures,False,14,385871 €,Lille ,+33-693-88781
14,05-04-2015,43 heures,False,14,385871 €,Lille ,+33-693-88781
15,12-04-2015,22 heures,False,15,395037 €,MARSEILLE ,+33-668-53919
16,19-04-2015,41 heures,True,16,303076 €,Nice,+33-689-45247
17,26-04-2015,21 heures,True,17,137796 €,Paris ,+33-684-72752
18,03-05-2015,43 heures,True,18,311999 €,Nice,+33-693-36646
19,10-05-2015,49 heures,False,19,212506 €,Lille ,+33-609-89605
20,17-05-2015,57 heures,False,20,485910 €,Lille ,+33-668-78385
21,24-05-2015,21 heures,False,21,194088 €,Paris ,+33-651-50158
22,31-05-2015,40 heures,nan,22,289544 €,MARSEILLE ,+33-609-33289
23,07-06-2015,52 heures,True,23,400002 €, lyon,+33-618-19823
24,14-06-2015,31 heures,False,24,193714 €,Paris ,+33-600-51975
25,21-06-2015,41 heures,False,25,35151 €, lyon,+33-668-26364
26,28-06-2015,44 heures,True,26,464623 €, lyon,+33-603-37663
27,05-07-2015,46 heures,True,27,86690 €,MARSEILLE ,+33-623-67679
28,12-07-2015,47 heures,True,28,24499 €, lyon,+33-601-59115
29,19-07-2015,35 heures,True,29,26295 €, lyon,+33-631-70890
30,26-07-2015,34 heures,nan,30,403029 €,MARSEILLE ,+33-683-28071
31,02-08-2015,22 heures,False,31,408215 €, lyon,+33-611-82369
32,09-08-2015,56 heures,False,32,341184 €, lyon,+33-634-45195
33,16-08-2015,26 heures,False,33,294327 €, lyon,+33-632-14000
33,16-08-2015,26 heures,False,33,294327 €, lyon,+33-632-14000
34,23-08-2015,40 heures,False,34,442515 €,Paris ,+33-660-48304
35,30-08-2015,28 heures,True,35,163946 €,Paris ,+33-639-79449
36,06-09-2015,58 heures,False,36,398480 €,Paris ,+33-642-99643
37,13-09-2015,37 heures,False,37,52711 €,MARSEILLE ,+33-628-96027
38,20-09-2015,23 heures,False,38,287683 €,Lille ,+33-694-13373
39,27-09-2015,44 heures,False,39,204423 €, lyon,+33-601-37350
40,04-10-2015,33 heures,False,40,474483 €, lyon,+33-680-35351
41,11-10-2015,28 heures,True,41,199426 €,MARSEILLE ,+33-692-25305
42,18-10-2015,45 heures,True,42,408207 €, lyon,+33-689-86797
43,25-10-2015,21 heures,False,43,153629 €,Paris ,+33-633-67458
44,01-11-2015,39 heures,False,44,320504 €,Lille ,+33-606-13267
45,08-11-2015,47 heures,False,45,233090 €,Nice,+33-657-99588
46,15-11-2015,26 heures,True,46,153272 €, lyon,+33-674-10412
47,22-11-2015,27 heures,False,47,263548 €,Paris ,+33-635-43496
48,29-11-2015,54 heures,False,48,481713 €,Nice,+33-620-99084
49,06-12-2015,33 heures,True,49,198047 €,Lille ,+33-635-54425
50,13-12-2015,36 heures,True,50,303501 €,Nice,+33-672-45735
51,20-12-2015,55 heures,False,51,139121 €,Paris ,+33-663-93042
52,27-12-2015,59 heures,nan,52,97505 €,Nice,+33-635-47841
53,03-01-2016,23 heures,False,53,22869 €,MARSEILLE ,+33-695-69031
54,10-01-2016,21 heures,False,54,277186 €,Nice,+33-622-17357
55,17-01-2016,25 heures,False,55,474351 €, lyon,+33-695-71476
56,24-01-2016,23 heures,False,56,332252 €, lyon,+33-611-46208
57,31-01-2016,48 heures,nan,57,132296 €,MARSEILLE ,+33-654-81180
58,07-02-2016,37 heures,nan,58,114179 €,Paris ,+33-622-78450
59,14-02-2016,45 heures,True,59,110272 €, lyon,+33-629-24397
60,21-02-2016,53 heures,False,60,58467 €,Lille ,+33-683-56959
61,28-02-2016,29 heures,False,61,305472 €, lyon,+33-688-60517
62,06-03-2016,55 heures,True,62,373556 €, lyon,+33-612-76234
63,13-03-2016,33 heures,True,63,155059 €,Paris ,+33-618-57280
64,20-03-2016,50 heures,False,64,78871 €,Nice,+33-699-26779
65,27-03-2016,34 heures,False,65,435615 €, lyon,+33-660-82936
66,03-04-2016,27 heures,True,66,148391 €,MARSEILLE ,+33-618-46939
67,10-04-2016,33 heures,True,67,459430 €,Nice,+33-608-45270
68,17-04-2016,42 heures,nan,68,106416 €,Lille ,+33-627-92637
68,17-04-2016,42 heures,nan,68,106416 €,Lille ,+33-627-92637
69,24-04-2016,59 heures,True,69,352415 €,Paris ,+33-694-74895
70,01-05-2016,40 heures,True,70,326208 €,Lille ,+33-651-64098
71,08-05-2016,35 heures,False,71,276687 €,Nice,+33-615-96900
72,15-05-2016,37 heures,nan,72,221163 €,Nice,+33-668-99112
73,22-05-2016,43 heures,True,73,127450 €,Nice,+33-651-21130
74,29-05-2016,45 heures,False,74,191890 €,Lille ,+33-684-70566
75,05-06-2016,44 heures,False,75,458741 €,Nice,+33-615-37192
76,12-06-2016,48 heures,True,76,301974 €,Lille ,+33-638-94076
77,19-06-2016,34 heures,False,77,430645 €,Nice,+33-652-31545
